,bass,mid,treble,frequency,,,,,,,,,,,sa,0.05
5,0.022419253,0.008608899,0.000834588,0,,,,,,,0,0,0,0,,
6,0.179869816,0.072990417,0.007493457,344.53125,,1,1,1,1,,0.001120963,,,,,
7,0.179869816,0.072990417,0.007493457,344.53125,,1,1,1,1,,0.010058405,,,,,
8,0.306626946,0.136565104,0.013158226,301.4648438,,1,1,1,0.875,,0.018548976,,,,,
9,0.306626946,0.136565104,0.013158226,301.4648438,,1,1,1,0.875,,0.032952874,,,,,
10,0.306626946,0.136565104,0.013158226,301.4648438,,1,1,1,0.875,,0.046636578,,,,,
11,0.99441582,0.466660023,0.052632514,689.0625,,1,1,1,1,,0.059636096,,,,,
12,0.99441582,0.466660023,0.052632514,689.0625,,1,1,1,1,,0.106375082,,,,,
13,0.578139365,0.412406921,0.042754222,990.5273438,,0.581385929,0.883741699,0.812315775,1,,0.150777119,,,,,
14,0.578139365,0.412406921,0.042754222,990.5273438,,0.581385929,0.883741699,0.812315775,1,,0.172145232,,,,,
15,0.578139365,0.412406921,0.042754222,990.5273438,,0.581385929,0.883741699,0.812315775,1,,0.192444938,,,,,
16,0.43371287,0.3450315,0.028451171,990.5273438,,0.436148401,0.73936374,0.540562637,1,,0.21172966,,,,,
17,0.43371287,0.3450315,0.028451171,990.5273438,,0.436148401,0.73936374,0.540562637,1,,0.22282882,,,,,
18,0.327814281,0.333218426,0.031734154,947.4609375,,0.329655135,0.714049649,0.602938203,0.956521739,,0.233373023,,,,,
19,0.327814281,0.333218426,0.031734154,947.4609375,,0.329655135,0.714049649,0.602938203,0.956521739,,0.238095085,,,,,
20,0.342980742,0.338464499,0.023687461,947.4609375,,0.344906764,0.725291394,0.450053767,0.956521739,,0.242581045,,,,,
21,0.342980742,0.338464499,0.023687461,947.4609375,,0.344906764,0.725291394,0.450053767,0.956521739,,0.24760103,,,,,
22,0.342980742,0.338464499,0.023687461,947.4609375,,0.344906764,0.725291394,0.450053767,0.956521739,,0.252370016,,,,,
23,0.329886407,0.368416846,0.027701361,1291.992188,,0.331738896,0.789475909,0.526316507,1,,0.256900552,,,,,
24,0.329886407,0.368416846,0.027701361,1291.992188,,0.331738896,0.789475909,0.526316507,1,,0.260549845,,,,,
25,0.329886407,0.368416846,0.027701361,1291.992188,,0.331738896,0.789475909,0.526316507,1,,0.264016673,,,,,
26,0.520810246,0.357621729,0.019055389,602.9296875,,0.523734876,0.766343188,0.362045954,0.466666667,,0.26731016,,,,,
27,0.520810246,0.357621729,0.019055389,602.9296875,,0.523734876,0.766343188,0.362045954,0.466666667,,0.279985164,,,,,
28,0.342281431,0.241632551,0.018543897,947.4609375,,0.344203526,0.51779141,0.352327785,0.733333333,,0.292026418,,,,,
29,0.342281431,0.241632551,0.018543897,947.4609375,,0.344203526,0.51779141,0.352327785,0.733333333,,0.294539169,,,,,
30,0.342281431,0.241632551,0.018543897,947.4609375,,0.344203526,0.51779141,0.352327785,0.733333333,,0.296926282,,,,,
31,0.192736104,0.199807927,0.013030393,904.3945313,,0.193818421,0.428165939,0.247573068,0.7,,0.299194039,,,,,
32,0.192736104,0.199807927,0.013030393,904.3945313,,0.193818421,0.428165939,0.247573068,0.7,,0.293871143,,,,,
33,0.289241165,0.200514153,0.012487429,947.4609375,,0.29086541,0.429679302,0.237256938,0.733333333,,0.288814391,,,,,
34,0.289241165,0.200514153,0.012487429,947.4609375,,0.29086541,0.429679302,0.237256938,0.733333333,,0.288835729,,,,,
35,0.289241165,0.200514153,0.012487429,947.4609375,,0.29086541,0.429679302,0.237256938,0.733333333,,0.288856001,,,,,
